value_chain,technology,core_occupation,unique_requirements_for_hydrogen
End Use,Power Generation with Hydrogen,Mechanical engineer -Equipment & piping,Knowledge of hydrogen related regulations standards and codes. Understanding of combined-cycle power generation using hydrogen blending. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Appropriate selection design and maintenance of power generation equipment including compression turbines and combustion valves fittings piping systems etc. for hydrogen blending. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen
End Use,Power Generation with Hydrogen,Mechanical engineer –Reliability,Hydrogen properties behaviors and potential hazards created. Knowledge of hydrogen related regulations standards and codes. Safety when working with or around hydrogen. Understanding of combined-cycle power generation using hydrogen blending. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Appropriate selection design and maintenance of including steam and combustion turbines compressors pressure vessels valves steam generators boilers pumps piping systems and otherBalance of Plant (BOP) equipment to withstand hydrogen pressure and temperatures
End Use,Power Generation with Hydrogen,Plant manager,Safety when working with or around hydrogen. Understanding of combined_x0002_cycle power generation using hydrogen blending. Hydrogen properties behavior and potential hazards created. Maintenance of equipment and systems involved in combined_x0002_cycle power generation using hydrogen blending
End Use,Power Generation with Hydrogen,Plant operator,Hydrogen properties behaviors and potential hazards created. Understanding of combined-cycle power generation using hydrogen-blending. Safety when working with or around hydrogen
End Use,Power Generation with Hydrogen,Power scheduler,Hydrogen properties behaviors and potential hazards created. Understanding of combined-cycle power generation using hydrogen-blending. Safety when working with or around hydrogen
End Use,Power Generation with Hydrogen,Process control engineer,Knowledge of hydrogen related regulations standards and codes. Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created. Understanding of combined-cycle power generation using hydrogen blending. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Knowledge of control systems and advanced control systems for combined-cycle power generation using hydrogen blending
End Use,Power Generation with Hydrogen,Process engineer,Knowledge of hydrogen related regulations standards and codes. Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created. Understanding of combined-cycle power generation using hydrogen blending. Keep up-to-date with changes to hydrogen technology regulations standards and codes
End Use,Power Generation with Hydrogen,Process safety engineer,Process engineering and controls skills specific to hydrogen including hazard risk analysis and review mechanical integrity and instrumented system analysis and operational readiness inspection. Knowledge of hydrogen related regulations standards and codes. Keep up-to-date with changes to hydrogen technology regulations standards and codes
End Use,Transportation,Dual fuel heavy duty mechanic, Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created. Appropriate selection design and maintenance of hydrogen fuel tanks piping systems and fitting valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)
End Use,Transportation,Fleet manager, Management maintenance and continuous improvement of FCEV fleet to optimize safety utilization and cost savings. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen. Management maintenance and continuous improvement of hydrogen fueling stations and mobile systems. Knowledge of hydrogen production distribution and dispensing technology
End Use,Transportation,Fuel cell electric vehicle (FCEV) technician, Knowledge of fuel cell technology. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen. Appropriate selection design and maintenance of hydrogen fuel tanks piping systems and fitting valves and seals to withstand hydrogen pressure. EMC/EMI compliance and standards. Experience with Codes Standards and compliance issues of electrical systems in road vehicles
End Use,Transportation,Locomotive engineer, Safety when working with or around hydrogen. Eco-driving techniques: a method of driving a vehicle using less fuel and having less of an impact on the environment. Knowledge of fuel cell technology ability to inspect vehicles and conduct basic maintenance. Hydrogen properties behavior and potential hazards created
End Use,Transportation,Locomotive mechanic (shop and field), Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen. Knowledge of fuel cell technology and hydro-electric power trains. Appropriate selection design and maintenance of hydrogen fuel tanks piping systems and fitting valves and seals to withstand hydrogen pressure. Experience with Codes Standards and compliance issues of electrical systems in road vehicles
End Use,Transportation,Transit operator, Hydrogen properties behavior and potential hazards created. Eco-driving techniques: a method of driving a vehicle using less fuel and having less impact on the environment. Safety when working with or around hydrogen. Hydrogen refueling. Knowledge of fuel cell technology ability inspect vehicle and conduct basic maintenance
End Use,Transportation,Transportation solutions advisor, Keep up-to-date with changes to hydrogen technology regulations standards and codes. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen. Knowledge of hydrogen production distribution and dispensing technology to meet the needs of different fleets. Understanding of relevant hydrogen regulations codes and standards. Knowledge of hydrogen fuel cell technology how it works and value proposition re: emissions targets and cost effectiveness
End Use,Transportation,"Truck drivers – Class 1 & 3 Transport, freight, delivery/courier",Eco-driving techniques: a method of driving a vehicle using less fuel and having less impact on the environment. Hydrogen refueling. Safety when working with or around hydrogen. Knowledge of fuel cell technology ability to inspect vehicles and conduct basic maintenance. Hydrogen properties behavior and potential hazards created
Manufacturing,Electrolyzer MFG,Applications engineer,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for hydrogen supply chains
Manufacturing,Electrolyzer MFG,Assembly technician,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for the hydrogen industry
Manufacturing,Electrolyzer MFG,CNC fabricationtechnician,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for the hydrogen industry
Manufacturing,Electrolyzer MFG,Compliance specialist,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Design - Mechatronics,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Design engineer -Electrical & instrumentation,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Design engineer-Mechanical,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Facility maintenanceplanner,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for the hydrogen supply chains
Manufacturing,Electrolyzer MFG,Maintenance trade -Electromechanical,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for the hydrogen supply chains
Manufacturing,Electrolyzer MFG,Maintenance trade -Instrumentation & controls,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for the hydrogen supply chains
Manufacturing,Electrolyzer MFG,Maintenance trade -Mechanical,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for the hydrogen supply chains
Manufacturing,Electrolyzer MFG,Maintenance trades -Electrical,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for the hydrogen industry
Manufacturing,Electrolyzer MFG,Manufacturing engineer,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Materials specialist,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Mechatronics engineer -Facility,Nothing that impacts thisoccupation’s ability to apply expertise to manufacturing for hydrogen supply chains
Manufacturing,Electrolyzer MFG,Production scheduler,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Quality control specialist,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Service technician,Hydrogen properties behaviors and potential hazards created. Safety when working with or around hydrogenDepending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Sourcing specialist,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Test technician,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Test validation engineer,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Manufacturing,Electrolyzer MFG,Welder,Depending on the hydrogen-related product manufactured may require hydrogen specific skills/knowledge as listed here
Production,Plant Operation,Automation & controls specialist,Safety when working with or around hydrogen. Knowledge of automated process systems and controls systems associated with electrolyzers. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Chemical/Process engineer,Safety when working with or around hydrogen. Understanding of electrochemical reactions processes and hydrogen production using PEM electrolyzers. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Control room operator,Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created. Understanding of hydrogen production process using PEM electrolyzers
Production,Plant Operation,Electrical & instrumentation engineer,Safety when working with or around hydrogen. Knowledge of key instrumentation and electrical equipment and systems associated with electrolyzer produced hydrogen. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Electrical engineer,Safety when working with or around hydrogen. Knowledge of key high power electrical equipment associated with electrolyzer produced hydrogen. Optimize rectification arrangement for electrolyser plants. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Facility engineer,Safety when working with or around hydrogen. Understanding of electrochemical reactions processes and hydrogen production using PEM electrolyzers. Appropriate selection design and maintenance of related production equipment materials coatings etc.. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Lab technician,Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created. Understanding of hydrogen production process using PEM electrolyzers
Production,Plant Operation,Maintenance planner,Safety when working with or around hydrogen. Appropriate selection design and maintenance of electrolyzers vessels compressors piping systems and fitting valves and seals to withstand hydrogen pressure and temperatures. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Maintenance trade - Electrical,Safety when working with or around hydrogen. Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyzer hydrogen production plant. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Maintenance trade - Instrumentation & control,Safety when working with or around hydrogen. Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyzer hydrogen production plant. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Maintenance trade - Mechanical,Safety when working with or around hydrogen. Knowledge of appropriate materials seals coatings. Maintenance of vessels compressors piping systems and fitting valves etc. to withstand hydrogen pressure and temperatures. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Measurement specialist,Safety when working with or around hydrogen. Understanding of electrochemical reactions processes and hydrogen production using PEM electrolyzers. Knowledge of hydrogen gas value-chains. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Mechanical engineer - Equipment & piping,Safety when working with or around hydrogen. Appropriate selection design and maintenance of electrolyzers vessels piping systems and fitting valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold). Appropriate selection design and maintenance of combustion compression pumping and turbine systems and equipment to withstand hydrogen pressure (high/low) and temperatures (hot/cold). Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Mechanical engineer - Reliability,Safety when working with or around hydrogen. Appropriate selection design and maintenance of electrolyzer vessels compressors  piping systems and fitting valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold). Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Plant manager,Safety when working with or around hydrogen. Understanding of electrochemical reactions processes and hydrogen production using PEM electrolyzers. Maintenance of equipment and systems involved in hydrogen production using PEM electrolyzer. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Plant operator,Safety when working with or around hydrogen. Understanding of electrochemical reactions processes and hydrogen production using PEM electrolyzers. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Process control engineer,Safety when working with or around hydrogen. Understanding of electrochemical reactions processes and hydrogen production using PEM electrolyzers. Knowledge of electrolyzer hydrogen production plant control systems and advanced control systems for process optimisation. Hydrogen properties behavior and potential hazards created
Production,Plant Operation,Process safety engineer,Knowledge of hydrogen related regulations standards and codes. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews mechanical integrity and instrumented system analysis and operation readiness inspection
Production,Plant Operation,Production engineer,Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created. Understanding of hydrogen production process using PEM electrolyzers
Production,Plant Operation,Renewable power interconnection specialist,Safety when working with or around hydrogen. Knowledge of key high power electrical equipment and interconnection applications associated with renewable electricity powered electrolyzer produced hydrogen. Hydrogen properties behavior and potential hazards created
Storage / Distribution,Pipeline,Automation & controls specialist, Safety when working with or around hydrogen. Understanding of hydrogen compression processes. Hydrogen properties behavior and potential hazards created
Storage / Distribution,Pipeline,Compression specialist, Safety when working with or around hydrogen. Appropriate selection design and maintenance of hydrogen compression turbine systems and equipment. Understanding of hydrogen compression processes. Hydrogen properties behavior and potential hazards created
Storage / Distribution,Pipeline,Control center operator, Safety when working with or around hydrogen. Understanding of properties and characteristics of hydrogen in a gaseous state. Hydrogen properties behavior and potential hazards created
Storage / Distribution,Pipeline,Corrosion specialist, Safety when working with or around hydrogen. Knowledge and selection of type of materials coatings and inhibitors to use to protect from hydrogen corrosion. Hydrogen properties behavior and potential hazards created
Storage / Distribution,Pipeline,Electrical & instrumentation engineer, Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created. Knowledge of key instrumentation and electrical equipment and systems associated with hydrogen pipeline transmission including compression
Storage / Distribution,Pipeline,Measurement specialist, Safety when working with or around hydrogen. Knowledge of hydrogen value- chains. Hydrogen properties behavior and potential hazards created. Understanding of measurement equipment and instrumentation associated with hydrogen transmission
Storage / Distribution,Pipeline,Pipeline Scheduler,Safety when working with or around hydrogen. Knowledge of hydrogen gas value-chains. Hydrogen properties behavior and potential hazards created. Understanding of properties and characteristics of hydrogen in a gaseous state
Storage / Distribution,Pipeline,Pipeline engineer, Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen. Understanding materials behavior in high pressure hydrogen. Understanding of properties and characteristics of hydrogen in a gaseous state. Appropriate selection and design of vessels compressors piping systems and fitting valves and seals to withstand high hydrogen pressure. Knowledge and selection of type of materials coatings and inhibitors to use to protect from hydrogen corrosion and embrittlement
Storage / Distribution,Pipeline,Pipeline integrity specialist, Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen. Understanding materials behavior in high pressure hydrogen. Understanding of properties and characteristics of hydrogen in a gaseous state. Appropriate selection and design of vessels compressors piping systems and fitting valves and seals to withstand high hydrogen pressure. Knowledge and selection of type of materials coatings and inhibitors to use to protect from hydrogen corrosion and embrittlement
Storage / Distribution,Pipeline,Pipeline technician - Mechanical, Safety when working with or around hydrogen. Appropriate selection and maintenance of stationary and rotating equipment and systems required for pipeline transmission of gaseous hydrogen. Hydrogen properties behavior and potential hazards created
Storage / Distribution,Pipeline,Pipeline technician- Electrical & instrumentation, Safety when working with or around hydrogen. Appropriate selection and maintenance of electrical equipment and instrumentation systems required for pipeline transmission of gaseous hydrogen. Hydrogen properties behavior and potential hazards created
Storage / Distribution,Pipeline,Process safety engineer, Knowledge of hydrogen related regulations standards and codes. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews mechanical integrity and instrumented system analysis and operation readiness inspection
Storage / Distribution,Pipeline,Station operator - Compression, Safety when working with or around hydrogen. Understanding of hydrogen compression processes. Hydrogen properties behavior and potential hazards created. Appropriate selection and maintenance of compression and turbine systems and equipment to withstand hydrogen pressure
Storage / Distribution,Trucking,Cylinder technician, Safety when working with or around hydrogen. Understanding of hydrogen compression processes. Hydrogen properties behavior and potential hazards created. Appropriate selection and maintenance of materials and equipment to withstand hydrogen pressure and temperatures
Storage / Distribution,Trucking,Heavy Duty Mechanic,Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen
Storage / Distribution,Trucking,Logistics coordinator, Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created
Storage / Distribution,Trucking,Tank tester/inspector,Appropriate selection and maintenance of materials and equipment to withstand hydrogen pressure and temperatures. Understanding of hydrogen compression processes. Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created
Storage / Distribution,Trucking,Truck driver – Hydrogen delivery, Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created
Support,Business,Business & commercial development specialist,Develop and present business case for hydrogen. Hydrogen properties behaviors and potential hazards created. Safety when working with or around hydrogen. Understanding of hydrogen technologies costs and carbon advantages and disadvantages in order to evaluate project opportunity and feasibility againstcommercial technical and non-technical requirements. Produce techno-economic analysis reports
Support,Digital,Cybersecurity specialist,Nothing that specifically impact this occupation’s ability to apply expertise to the hydrogen industry
Support,Digital,Data engineer,Nothing that impacts thisoccupation’s ability to apply expertise for the hydrogen industry
Support,Digital,Data scientist,Domain knowledge of the hydrogen value chain involved is an asset
Support,Digital,Software developer,Nothing that impacts thisoccupation’s ability to apply expertise for the hydrogen industry
Support,Digital,Systems integrationspecialist,Domain knowledge of the hydrogen value chain involved is an asset
Support,ESG,"Environment, Social,Governance (ESG)analyst",Knowledge of hydrogen technologies and value proposition as it relates toESG factors and how to measure them. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen
Support,ESG,Environmental specialist,Knowledge of environmental laws regulations and practices pertaining to hydrogen and related infrastructure and operations. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen
Support,ESG,Health & safety advisor,Advanced knowledge of safety when working with or around hydrogen. Advanced knowledge of regulatory systems standards and policy related to hydrogen. Advanced knowledge of hydrogen properties behaviors and potential hazards created
Support,ESG,Indigenous relationsspecialist,Understanding of hydrogen technologies and economic and social advantages and disadvantages. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen
Support,ESG,Regulatory analyst and compliance specialist,Hydrogen properties behaviors and potential hazards created. Advanced knowledge of current and evolving regulatory systems standards and policy related to hydrogen. Safety when working with or around hydrogen
Support,ESG,Stakeholder engagement and communications specialist,Knowledge of hydrogen technologies and value proposition and benefits are:socio-economic environment climate change etc.. Hydrogen properties behaviors and potential hazards created. Safety when working with or around hydrogen
Support,ESG,Sustainability specialist,Knowledge of hydrogen technologies and value proposition and benefits re:socio-economic environment climate change etc.. Advanced knowledge of current and evolving regulatory systems standards and policy related to hydrogen. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen
Support,Inspection,Cathodic protectiontechnician,Hydrogen properties behaviors and potential hazards created. Understanding of cathodic protection equipment and techniques effective to protect against hydrogen corrosion/embrittlement. Safety when working with or around hydrogen
Support,Inspection,Coating inspector,Hydrogen properties behaviors and potential hazards created. Understanding of coatings effective for protecting equipment piping pipelines etc. used for hydrogen against corrosion/embrittlement and their correct application. Safety when working with or around hydrogen
Support,Inspection,Constructioninspector,Knowledge of hydrogen related regulations standards and codes. Understanding of acceptance compliance and materials testing required for hydrogen infrastructure. Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created. Keep up-to-date with changes to hydrogen technology regulations standards and codes
Support,Inspection,Corrosion specialist,Hydrogen properties behavior and potential hazards created. Materials coatings and inhibitors to use and correct application to protect from hydrogen corrosion. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Safety when working with or around hydrogen. Practices technologies equipment and systems to control hydrogen corrosion/embrittlement. Knowledge of hydrogen related regulations standards and codes
